id,firsName,LastName,displayName,teamName
770,Litterial,Green,Litterial Green,Orlando Magic
771,Alonzo,Mourning,Alonzo Mourning,Charlotte Hornets
772,Alex,Blackwell,Alex Blackwell,Los Angeles Lakers
773,Isaiah,Morris,Isaiah Morris,Detroit Pistons
774,Doug,Overton,Doug Overton,Washington Wizards
775,Eric,Anderson,Eric Anderson,New York Knicks
776,Tim,Kempton,Tim Kempton,Phoenix Suns
777,Stan,Kimbrough,Stan Kimbrough,Sacramento Kings
778,Jay,Guidinger,Jay Guidinger,Cleveland Cavaliers
779,Gary,Plummer,Gary Plummer,Denver Nuggets
780,Matt,Geiger,Matt Geiger,Miami Heat
781,Marcus,Webb,Marcus Webb,Boston Celtics
782,Jojo,English,Jojo English,Chicago Bulls
783,Marlon,Maxey,Marlon Maxey,Minnesota Timberwolves
784,Jon,Barry,Jon Barry,Milwaukee Bucks
785,Richard,Dumas,Richard Dumas,Phoenix Suns
786,Radisav,Curcic,Radisav Curcic,Dallas Mavericks
787,Andre,Spencer,Andre Spencer,Atlanta Hawks
788,Dexter,Cambridge,Dexter Cambridge,Dallas Mavericks
789,Joe,Courtney,Joe Courtney,Chicago Bulls
790,Duane,Washington,Duane Washington,LA Clippers
791,Melvin,Newbern,Melvin Newbern,Detroit Pistons
792,Ricky,Blanton,Ricky Blanton,Chicago Bulls
793,Jim,Jackson,Jim Jackson,Dallas Mavericks
794,Barry,Stevens,Barry Stevens,Golden State Warriors
795,Doug,Christie,Doug Christie,Los Angeles Lakers
796,Pat,Durham,Pat Durham,Golden State Warriors
797,Thomas,Jordan,Thomas Jordan,Philadelphia 76ers
798,Gary,Alexander,Gary Alexander,Miami Heat
799,Anfernee,Hardaway,Anfernee Hardaway,Orlando Magic
800,Keith,Tower,Keith Tower,Orlando Magic
801,Chris,Whitney,Chris Whitney,San Antonio Spurs
802,Josh,Grant,Josh Grant,Golden State Warriors
803,Bobby,Hurley,Bobby Hurley,Sacramento Kings
804,Mike,Peplowski,Mike Peplowski,Sacramento Kings
805,Darnell,Mee,Darnell Mee,Denver Nuggets
806,Rodney,Rogers,Rodney Rogers,Denver Nuggets
